"monster_name","description","abstract","personality","realm","activities","combat","biology","society","abilities","behavior","reputation","culture","sub-races","types","history","rumors","magic","uses"
"choker","Chokers had a torso that appeared something akin to ahalfling[3]with spotted gray or brown skin,[4]but the similarity ended there.[3]The flesh of a choker felt rubbery.[1]Some scholars reported that it could alter its skin color to match its surroundings.[2] Its body was roughly humanoid, with a small torso and head,[4]but a choker's arms and legs were long and thin, being more like tentacles than arms or legs of normal creatures.[3][4]The arms could reach out to a distance of at least 10 feet  (3 meters) from its body,[3]and if it stretched its legs out, it would stand about 6 feet  (180 centimeters) tall.[4] Its hands were shaped somewhat like a starfish.[1]The hands had a spiny surface—stiff cartilage jutting through the skin[4]—that permitted them to grip tightly to the surfaces of walls and ceilings[1][3]and to cut through flesh.[4]Even the fingers were enormously long.[4] While there was some debate about the anatomy of a choker's skeleton as a whole—some claimed that the skull, spine, and rib cage were of bone,[3][4]others claimed of cartilage[1]—all scholars agreed that their limbs were cartilaginous[1][2][3][4]and multi-jointed.[2][3][4]They moved their limbs with the fluidity of tentacles.[2][3][4] Standing little higher than 3.5 ft  (110 cm)—if not stretched out[4]—and weighing in at about 35 lb  (16 kg),[3]they were more dangerous than they appeared.[1]","5e4e3e2e1eVarious depictions of chokers.Choker5e4e3e2e5th Edition Statistics[1]SizeSmallTypeAberrationAlignmentChaotic evilChallenge rating14th Edition Statistics[2]TypeHumanoidAlignmentUnaligned3rd Edition Statistics[3]SizeSmallTypeAberrationAlignmentUsuallychaotic evilChallenge rating22nd Edition Statistics[4]SizeSmallAlignmentChaotic evilGeneral Information[1][2][3][4]MovementClimbingVisionDarkvisionActivity cycleNightDietCarnivoreLanguage(s)Deep Speech,[1]Common,[2]Undercommon[3]SubracesCavern chokerFeygrove chokerFavored terrainUndergroundAppearance[3][4]Average height3 ft 6 in (110 cm)Average weight35 lb  (16 kg)Skin color(s)Gray, earthy brownDistinctionsLong, tentacle-like limbsMottled skinHistory[5]First appearanceMonstrous Compendium Mystara AppendixChokerswere hideous monsters that hid underground and strangled their prey to death.[1][2][3][4]","Although some suggested that they were not truly malicious,[2]chokers' actions were those ofchaotic and evilbeings.[1][3][4]They were cowardly beings[1][4]and relied on stealth to survive.[1][2][3]Dwarvesandgoblinstook advantage of this cowardliness and often clanged together weapons and shields to scare chokers away when traveling through areas that they might be found.[4] Chokers liked to collect little trinkets from their victims.[2]Their greed for such objects sometimes gave a victim a means to negotiate for its life.[3]","NOT FOUND","NOT FOUND","Chokers took advantage of their flexible bodies and squeezed themselves into narrow cracks in the stone of their cavern homes,[1][4]where they waited for unsuspecting victims,[1]whatever happened to come by.[3]Other favored spots for ambushes were the intersections of cavern rooms[3][4]or above wells or staircases.[3]They traveled in search of new hiding places along dried underground river beds or through such things as the air shafts ofdwarvenconstructions.[4] After making a kill, a choker often left the corpse nearby, within its long arms' reach, both so that it could have easy access to a snack and so that it could use the body as a lure. If a curious creature came close to inspect the body, it would be the next victim.[1]Even if not leaving a corpse for bait, they rarely dragged an entire slain body away, instead cutting it into smaller pieces and transporting those in stages to a safer location.[4] Chokers actually favored attacking creatures their size or larger, but would usually avoid attacking a group, unless very hungry, in which case they attempted to pick off the last in line.[3] To attack, the choker would lash out with both of its tentacle-like arms,[1][2][3][4]snapping them likewhips.[3]The tiny spikes on its hands could puncture a victim's skin.[1][4]The choker would then try to choke its victim,[1][2][4]either with a strangle hold[2][3][4]or by pressing the victim's throat against the wall.[1]It could often do this without having to leave the safety of its hiding place.[1]It goes without saying that a victim could not speak or castspellswithverbal componentswhile being choked.[3] It was next to impossible to break a choker's hold without killing it. Thankfully for those who could survive such an ordeal, chokers were not patient. If their victim had not suffocated within several minutes, a typical choker would give up and flee the area.[4] Chokers that were attacked while currently trying to choke a victim would often use the victim as a body shield.[2]","NOT FOUND","Chokers were primarily solitary creatures,[1][2][3]but they all preferred similar habitats, so finding one meant that other independent chokers might also be nearby.[1]While they were generally terrible at the job, because of their stupidity,[1]somegoblins,gnolls, and other evilhumanoidspaid chokers food and treasure to guard their lairs or assassinate rivals.[2] Chokers made no use of tools or weapons.[4] Chokers communicated with creepy howling sounds that were hard to pinpoint in caves because of echoing[1]and spoke to one another in their own, primitive language.[4]They were also reported to know other common languages, such asDeep Speech,[1]Common,[2]orUndercommon.[3]","Chokers had low, almost animal, intelligence,[1][2][3][4]but they were preternaturally quick of movement.[1][3]Like most subterranean beings, they couldsee in the dark.[1][2][3] A choker's flexible skeleton allowed it to enter through a gap as narrow as 4 inches  (10 centimeters) wide![1]And it could climb walls[1][2][3]or even travel along a ceilinglike a spider.[1][2]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","No one knew the true origin of choker's, but the goblins of the world ofMystarabelieved that chokers were the result of a tribe of goblins who had resorted to cannibalism and degenerated.[4]","NOT FOUND","NOT FOUND","Perhaps only in jest, the famouswizardMordenkainenonce suggested that short wizards obtain a choker as afamiliaras an alternative to using ladders, since they could reach such great heights with their long arms and legs.[1]NOT FOUND"
"choldrith","Choldriths had eight slender legs (although the front two served as arms) and resembled bloated whitespidersabout 9 feet  (2.7 meters) in diameter. Their faces resembled those of chitines, with somehumanoidfeatures, faceted eyes, and mandibles protruding from their mouths. Their ears looked like horns.[2]","5e3eCholdrith5e3e5th Edition Statistics[1]SizeMediumTypeMonstrosityAlignmentChaotic evilChallenge rating33rd Edition Statistics[2]SizeLargeTypeAberrationAlignmentAlwayschaotic evilChallenge rating4General InformationPatron deityLolth[3]VisionDarkvision[1][4]Homeland(s)Underdark[2]Language(s)Undercommon,[1]Abyssal[2]AppearanceAverage length9 ft.[2]DistinctionsEight legs[2]Choldrithswere thepriestrace of thechitinesin theUnderdark.[2]","NOT FOUND","NOT FOUND","NOT FOUND","When possible, choldriths used their chitine subordinates as fodder to shield them in battle while they used their clericalspells.[2] They could spin webs like a spider, and could throw out net-like webs to ensnare foes up to 50 feet  (15 meters) away. Also like a spider, their bite was highly venomous.[2]","NOT FOUND","Choldriths were priests and spellcasters. They lived alongside chitines in villages inside caverns filled with maze-like webs. In the center of the cavern was always a temple toLolth. Choldriths served as the leaders of each village, as they were seen as blessed by Lolth.[5] Choldriths were found alongside chitines in theupperandmiddle-Northdark.[5]However, the majority lived in several connected villages known cumulatively as Yathchol, located beneath theFar Forest.[5]In that city, choldriths made up 8 percent of the population in1372 DR.[6]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","Choldriths were said to have been created by Lolth herself. It was believed that transformation into a choldrith was a kind of twisted reward bestowed by the Spider Queen on those who passed her tests, not unlike how transformation into adriderwas a punishment for failing her tests.[5]","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"chuul","Chuuls have been described as ""a horrible mix of crustacean, insect, and serpent"", but most closely resembled an 8 feet  (2.4 meters) tall yellow-green lobster, weighing around 650 pounds  (290 kilograms) with four long legs, two large claws, a strong protective exoskeleton, a fan-like tail, and a mass of paralysis-causing tentacles around its mouth.[3][4]","5e4e3eVarious depictions of chuul.Chuul5e4e3e5th Edition Statistics[1]SizeLargeTypeAberrationAlignmentChaotic evilChallenge rating44th Edition Statistics[2][3]OriginAberrantTypeMagical beastKeyword(s)AquaticAlignmentChaotic evil3rd Edition Statistics[4]SizeLargeTypeAberrationSubtype(s)AquaticAlignmentUsuallychaotic evilChallenge rating7General InformationMovementSwimming[4]VisionDarkvision[1][4][2]Homeland(s)Coastline shipwrecks, jungle lakes, sewer tunnels, swamps, temperate marshes, underground waters[2][3]Language(s)Common,[4]Undercommon,[4][2]understandsDeep Speechbut can't speak[1]SubracesChuul juggernaut[2],uchuulonAppearance[4]Average length8 ft  (2.4 m)Average weight650 lb  (290 kg)Skin color(s)Dark yellow-greenEye color(s)BlackDistinctionsSix limbs, strong exoskeleton, crustacean-like claws, paralysis-causing mouth tentacles, hatred towards surface-dwellinghumanoids[2]HistoryFirst appearanceMonster Manual 3rd edition","NOT FOUND","NOT FOUND","NOT FOUND","A chuul attacking an adventurer with anOtyugh Chuuls preferred to engage in combat either on land (where they could survive indefinitely) or very shallow water. A chuul would wait by a shoreline, while submerged or partially submerged in murky water, until it heard a suitable prey-item either within or without the water that it could perform a surprise attack upon.[4]","NOT FOUND","Chuuls could be found living as solitary creatures, in pairs,[4]or in small groups of 3-5, which were known as pods.[2]A pod would purposely seek out a body of still water that was large enough to support the entire group. Some chuul, particularly older ones, would create lairs by digging up lake bottoms and building rudimentary structures from trees and stones.[2]A chuul lair consisted of roughly circular rooms that were interconnected by tunnels made just large enough for the biggest member of the resident pod to squeeze through.[2] One of the aforementioned rooms in a chuul lair would always be a trophy room, as chuuls were born hoarders. After making a humanoid kill, a chuul would keep aside something from the victim as a trophy, whether shiny armor, a piece of jewelry, or even a well-crafted saddle. If the victim was not carrying anything of interest, then the chuul would settle for displaying their skull in their trophy room. The skull itself would be empty, but not due to chuul consumption, as they would not eat the brain.[2]","Strong physical combatants, chuuls fought by grabbing and piercing their target with their enormous claws. After the unfortunate victim was trapped within the strong grip of a chuul's pincer, it was either simply crushed or brought towards the creature's mouth tentacles, which grasped and exuded a paralytic secretion. Even if the victim was able to resist the paralysis at first, they would eventually succumb[3], if not to the paralysis itself then to the creature's mandibles. A chuul would normally try to always have one claw free during combat, so that it could deal with any other opponents that might try to interfere. If facing a large number of foes, it would drop a paralyzed or dead victim before moving onto the next attacker.[4] Amphibious by nature, chuuls were actually not great swimmers.[4] Much like a number of other aberrant creatures, chuuls had psychic abilities. However, it was unusual for a young chuul to have access to such powers, instead they would gradually become able to exude psychic static as they aged. Older and larger creatures were able to emit a psychic moan that weakened resistance to psychic attacks and use a psychic lure to draw victims towards it.[2] Chuuls were also able tosee perfectly well in the dark, could fight even if blinded, were very alert, and had an innate immunity to poisons.[2][4]","Chuuls really only had two, seemingly contradictory, motivations in life: to be left alone and to eat people. However, even if one of these wants was denied the chuul, it would normally automatically get the other; if there was no-one to eat then it was undisturbed, if it was disturbed then there was most likely someone it could eat.[2] Despite their monstrous appearance, chuuls were actually more intelligent than they seemed, often settingtrapsand ambushes for their prey, although they were still far from civilized; lacking any sort of culture, ability to make tools, or settlements.[3]However, they did share a racial memory, which they possessed from the moment they hatched. This allowed a chuul to clearly recall events experienced by the previous generation of their race, but this became less and less vivid the further back it went. Such memories tended to carry one defining message though: hate and kill the humanoids.[2]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"chwinga","Chwingas stood 0.5‒1.0 ft (15‒30 cm) tall, resembling small animated dolls withmasksfor faces.[1][4]No chwinga masks were alike, and they often took the form of animal faces.[1][4]Their hair was wild and unkempt while their limbs were slender and lean.[1]The presence of chwingas was foreshadowed by mild natural phenomena, such as the presence of harmless insects or pleasant flowery scents.[1]Further indication could be found in cool breezes, and a lusher surrounding scenery.[1]","Chwinga5e5th Edition Statistics[1][2][3]SizeTinyTypeElementalAlignmentNeutralChallenge rating0General Information[1][2][3]VisionBlindsightAppearance[1][3]Average height6‒12 in (15‒30 cm)Chwingas(pronounced: /tʃɛˈwɪŋɑːz/cheh-WING-ahz[1]) were small, shy elemental spirits that could be found in remote locations ofFaerûnwhere nature remained relatively untouched by the trappings of civilization.[1][2][3]","Incredibly shy in most aspects of their lives, chwingas were naturally curious and fascinated by humanoids, whose signs of civilization were alien to chwingas. Beings that wore armor, carried weapons, cooked food, and used tools were of great interest to them. Those that piqued a chwinga's interest enough could find themselves tailed by the diminutive elementals and given minor magical boons. The features that drew chwinga to individuals seemed completely arbitrary, ranging from height and hairstyle to artistic talent or other strange abilities.[1][2]","NOT FOUND","NOT FOUND","NOT FOUND","Like most elementals, chwingas did not eat, drink, or breathe, but unusually they did sleep. Dead chwingas became petals, pollen, a puddle, or a stone.[1][2][3] Groups of chwingas have been been observed forming symbiotic relationships with long-living creatures, such asdragon tortoises.[8]","Chwingas were quite playful and often a bit mischievous Chwingas lived and slept within natural objects like rivers and trees. They were incapable of speech and didn't have names.[1][2][7] They considered themselves the modest caretakers of the natural world.[7]","Chwingas had inherentspellcastingabilities,[2]along with the power to bestow various supernatural aids on those who caught their curiosity and compassion. They possessed the ability to take shelter and hide inside their natural surroundings, like in rocks or trees, becoming totally impervious to danger. They were agile and hard to pin down, primarily due to their hiding skills.[1] While they adapted well to new natural environments, they could be driven mad by extreme weather conditions such as blizzards.[5]It was said by some that they had the power to potentially change the climate of a given region ofFaerûn.[6]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","Chwingas from the desert ofAnauroch When a great number of emigrants from Chult migrated to theTen TownsofIcewind Dale, they brought with them a large number of chwinga spirits.[9] In theYear of the Warrior Princess, 1489 DR, the youngDannika Graysteelsought to catch a chwinga in order to end theEverlasting Rimethat had been plaguing Icewind Dale for years.[6]","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"clay","Magically-imbued clay. Clay resembled thick mud or soft stone depending on how dry it was,[1]and weighed between 112 pounds  (50.8 kilograms) and 162 pounds  (73.5 kilograms) per 1 cubic foot  (28 liters).[3]It was a particularly difficult kind of soil to handle with tools, with evenhoesandplowsstruggling to break through the stiff and heavy mass.[4]","A sculptedclay golem.ClayPhysical propertiesMaterial typeSoilUsageUsesCeramics,alchemy,material componentClaywas a common naturally-occurring kind of soil inFaerûnand beyond, often used to make useful and beautifulceramicobjects.[1][2]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"cloaker","Cloakers were almost indistinguishable from large cloaks when then lay dormant, even appearing to have clasps and buttons.[5]When on the move, they appeared like large,leatherystingrays. They had 8 feet  (2.4 meters) wings that unfurled as they flew through the underground caves which they called home, or curled around them as they waited quietly for prey. Their tails were long andwhiplike. Their heads sat within the ""cowl"" of their cloak-like bodies, with red eyes and a toothy maw. Bony claws adjacent to the head looked almost like clasps for the cloak.[1] While their backs and wings were black to assist with camouflage, their bellies were pale. Some had a series of spots that ran in two parallel lines down their backs, which could give the appearance of buttons.[1][5] Their bodies were composed largely of muscle and cartilage.[1]","5e4e3e2e1eVarious depictions of cloakers.Cloaker5e4e3e2e1e5th Edition Statistics[1]SizeLargeTypeAberrationAlignmentChaotic neutralChallenge rating84th Edition Statistics[2]SizeLargeOriginAberrantTypeMagical beastAlignmentUnaligned3rd Edition Statistics[3]SizeLargeTypeAberrationAlignmentUsuallychaotic neutralChallenge rating52nd Edition Statistics[4][5]SizeLargeAlignmentChaotic neutral1st Edition Statistics[6]SizeLargeAlignmentChaotic neutralGeneral Information[3][4][1][5]MovementFlyingVisionDarkvisionActivity cycleNightDietCarnivoreIntelligenceHighSubracesCloaker lordSnow cloakerFavored climateAnyFavored terrainUndergroundAppearanceAverage wingspan8 ft  (2.4 m)Average weight100 lb  (45,000 g)Skin color(s)BlackHistoryFirst appearanceScourge of the Slave LordsCloakerswere intelligent creatures that dwelt underground and resembled large flyingmanta rayswhen active.  At rest, they looked like a blackcloak, hence their name.[3]","Their minds and thoughts were so alien that some scholars believed that no one could communicate with them.[7]While this was ultimately untrue, it was the case that they were highly intelligent and had (at least from ahumanperspective) exceedinglychaotictendencies. This made it very difficult to predict the motives and actions of a cloaker.[8] They were highly territorial, and tended to kill anything that entered their lair. The only exception to this was when they could think of a more amusing fate for the interlopers.[5]","NOT FOUND","NOT FOUND","Cloakers generally either waited in ambush for their prey,[3]or stalked them from a safe distance.[1][2]Once an opportune moment presented itself, the cloaker would launch a surprise attack with blinding speed, unfurling its fins and attempting to engulf their prey within them. Once a cloaker had entrapped its prey in this manner, they would use their long whip-like tail to defend itself from any creatures that might try to intervene.[1][3][5]","NOT FOUND","A well-fed cloaker on a steady diet of adventurers. Cloakers preferred not to travel long distances[8]and were generally reclusive creatures, however older ones were known to coerce small groups ofhumans,goblins, anddrowinto doing their bidding, withderroandquaggothsbeing the most common such servants. At times, cloakers were even known to be worshiped by tribes as a sort of god.[2]Cloakers themselves did not venerate anydeity.[11] Cloakers' solitary and chaotic natures were presumed to be why they generally did not pose an organized threat to surface dwellers.[8]However, one or more cloaker lords would sometimes draw together a population of cloakers to form a city,[7]and despite their generally reclusive nature, cloaker communities were surprisingly social, with the creatures forming odd social cliques, castes, and roles for themselves. They appeared to greatly care about popularity, with the most popular cloakers being those which were larger, had darker coloration, or kept the most ""pets"" in the form of enslaveddarkmantles,lurkers, orhumanoids.[12]","Cloakers communicated through a subsonic moan, inaudible to most creatures, that could travel up to 60‒80 ft (18‒24 m).[1]They were capable of increasing the intensity of their moans as a defense mechanism, rendering them audible, and causing foes to feel a mixture of fear and nausea.[1][3]The highest intensity of this subsonic moan was capable of causing an effect akin tohold personon an individual with 30 feet  (9.1 meters). However, these sounds could not penetrate dense materials, such as stone.[4] Some cloakers were known to be capable of manipulating the shadows around them, though alightspell would easily render them blind and incapable of using this ability.[4][3][2]Others expressed the ability to conjure up to three illusory duplicates of themselves that copied their movements, but could only do so in an area of darkness.[1][4]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","In the mid-to-late 14thcenturyDR, the mage and scholarSilin Mariluswas a foremost expert on the ecology of cloakers, and had even managed to converse with them.[8]","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"cockatrice","Although about the size of a large turkey or goose and weighing 25 lb  (11 kg), a cockatrice more closely resembled a chicken, but it was a hideous hybrid with the wings of abatand alizard-like tail.[4]This tail had yellow-green scales, its bat wings were a grey shade, their feet and beak were yellow, and their feathers were of a golden-brown hue.[6] A male cockatrice had a rooster's wattles and comb, which the females lacked.[4]These wattles and comb, as well as the eyes and tongue of both sexes, were all red.[6]","5e4e3e2e1eVarious depictions of cockatrices.Cockatrice5e4e3e2e1e5th Edition Statistics[2][1]SizeSmallSize (revised)CockatriceSmallCockatrice regentHugeTypeMonstrosityAlignmentUnalignedChallenge rating1⁄2Challenge rating (revised)Cockatrice1⁄2Cockatrice regent84th Edition Statistics[3]SizeSmallTypeBeastAlignmentUnaligned3rd Edition Statistics[4]SizeSmallTypeMagical beastAlignmentAlwaysneutralChallenge rating32nd Edition Statistics[5]SizeSmallAlignmentNeutral,Neutral evil1st Edition Statistics[6]SizeSmallAlignmentNeutralGeneral InformationMovementFlying[4]VisionDarkvision,[4][2]low-light vision[4]DietOmnivore[5]Favored climateAny,[5]temperate,[4]tropical[6]Favored terrainAny land,[5]plains[4]AppearanceAverage height3 ft  (0.91 m)[5]Average weight25 lb  (11 kg)[4]Feather color(s)Golden brown[5]Eye color(s)Glowing crimson[4]DistinctionsLizard-like tail[4]HistoryFirst appearanceEldritch WizardryBased onCockatrice(Medieval European)Thecockatricewas a small avianmagical beast. It was notorious for itspetrificationability.[4]","NOT FOUND","NOT FOUND","NOT FOUND","Any creature that a cockatrice bit could be permanently turned into stone.[6][4]Prior to theTime of Troubles, this petrifying aura extended even into theAstralandEthereal planes, much like that of abasilisk.[6] Cockatrices were immune to their own petrifying bite and that of other cockatrices, though not of other petrifying creatures and spells.[4] Cockatrices ferociously attacked any creature that appeared to threaten them or their lairs. Typically, flocks of them would attempt to overwhelm or confuse their opponents, and flew at their faces.[4]","Female cockatrices were very rare, much more so than the males.[4] These creatures were closely related to thepyrolisk.[7]","NOT FOUND","NOT FOUND","Cockatrices had an animal level of intelligence.[6]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"commoner","NOT FOUND","ACormyreanfarmer, one of the many kinds of commoner.CommonerAbbreviationCom[1]Class Statistics3e3rd Edition Statistics[2]NPC ClassProficienciesWeaponsOnesimple weaponList of known commonersCommonerswere average folk who made up the bulk ofToril's people. Commoners were responsible for farming the fields, staffing the shops, and performing most of the labor and production in their societies. They usually had no taste for risk likeadventurers, and were quite happy to avoid such nonsense.[2]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"conjurer","NOT FOUND","ConjurerAbbreviationCjr,[1]W(C)[2]Class Statistics5e5th Edition Statistics[3]Arcane TraditionSubclass ofWizardProficienciesWeaponsDaggersDartsLight crossbowsQuarterstaffsSlingsMagic UseMagic typeArcaneSpell preparationPreparedList of known conjurersAconjurerwas awizardspecializing in theconjurationmagic.","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
"constrictor snake","Constrictor snakes had a similar appearance to a regular snake but their proportions were much larger. They had large scales, sharp fangs that curved inwards and strong muscles. Large constrictor snakes could reach lengths of up to 30 ft  (9.1 m).[4][7]","5.5e2e1eVarious depictions of constrictor snakes.Constrictor Snake5e4e3e2e1e5th Edition Statistics[1]SizeLargeTypeBeastAlignmentUnalignedChallenge rating1⁄44th Edition Statistics[2]SizeLargeOriginNaturalTypeBeastKeyword(s)ReptileAlignmentUnaligned3rd Edition Statistics[3]SizeMediumTypeAnimalAlignmentAlwaysneutralChallenge rating22nd Edition Statistics[4]SizeMediumAlignmentNeutral1st Edition Statistics[5]SizeMediumAlignmentNeutralGeneral InformationMovementClimbing, swimming[3]VisionLow-light vision[3]Activity cycleDay[4]DietCarnivore[4]Favored climateWarm[3]Favored terrainForests[3]AppearanceAverage length10‒20 ft (3‒6.1 m)[4]HistoryFirst appearanceMonster Manual1steditionConstrictor snakeswere largesnakesfound throughoutFaerûn. Common constrictor snake species encountered wereanacondas,boasandreticulated pythons.[4]They were one of the species counted asserpents.[6]","NOT FOUND","NOT FOUND","NOT FOUND","Constrictor snakes were ambush predators. They either dropped onto a target from above or slowly approached their prey while they were sleeping. They bit into their prey with their sharp fangs, anchoring them while they used their powerful muscles to constrict their prey, causing slow suffocation.[4][7]","NOT FOUND","NOT FOUND","Some constrictor snakes possessed an innate magical ability to charm a target, causing temporary paralyzation.[4]","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUNDNOT FOUND"
